p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,external_gene_name,ensembl_gene_id,description,human_ortholog,humangene,human_description
5.86688631950122e-139,-2.0117547086033345,0.013,0.677,4.2446922521591324e-135,kifc1,kifc1,ENSNFUG00015015819,carboxy-terminal kinesin 2-like,ENSG00000237649,KIFC1,kinesin family member C1
5.86688631950122e-139,-2.0117547086033345,0.013,0.677,4.2446922521591324e-135,kifc1,kifc1,ENSNFUG00015018986,kinesin family member C1,ENSG00000237649,KIFC1,kinesin family member C1
4.1168261157932415e-133,-1.7662999063860296,0.019,0.667,2.9785236947764104e-129,ENSNFUG00015000184,,ENSNFUG00015000184,NA,,NA,NA
1.944071678067296e-130,-1.846142238437379,0.039,0.699,1.4065358590816887e-126,ENSNFUG00015019052,,ENSNFUG00015019052,NA,ENSG00000013810,TACC3,transforming acidic coiled-coil containing protein 3
9.681252615929771e-130,-1.8810493017148908,0.047,0.706,7.004386267625189e-126,ENSNFUG00015011162,,ENSNFUG00015011162,NA,ENSG00000148773,MKI67,marker of proliferation Ki-67
1.0429613451928875e-125,-2.53331439780456,0.031,0.657,7.545825332470541e-122,ENSNFUG00015010627,,ENSNFUG00015010627,NA,,NA,NA
2.532005407633908e-125,-1.9496437119770549,0.349,0.928,1.8319059124231325e-121,cks1b,cks1b,ENSNFUG00015020789,CDC28 protein kinase regulatory subunit 1B,ENSG00000173207,CKS1B,CDC28 protein kinase regulatory subunit 1B
4.833511456612668e-125,-3.124075237994767,0.061,0.694,3.4970455388592653e-121,ENSNFUG00015002361,NA,NA,NA,NA,NA,NA
1.1346077219031195e-122,-1.875820695397024,0.163,0.83,8.208886867969069e-119,ube2s,ube2s,ENSNFUG00015015437,ubiquitin conjugating enzyme E2 S,ENSG00000108106,UBE2S,ubiquitin conjugating enzyme E2 S
5.823727553632183e-122,-1.9262151351704229,0.075,0.716,4.213466885052884e-118,pbk,pbk,ENSNFUG00015003511,PDZ binding kinase,ENSG00000168078,PBK,PDZ binding kinase
1.1380485330467337e-118,-1.8049338175883785,0.069,0.689,8.233781136593118e-115,PRC1,PRC1,ENSNFUG00015023910,protein regulator of cytokinesis 1,ENSG00000198901,PRC1,protein regulator of cytokinesis 1
5.432909196333379e-117,-1.7459221543566192,0.105,0.758,3.9307098035471997e-113,spc25,spc25,ENSNFUG00015025027,SPC25 component of NDC80 kinetochore complex,ENSG00000152253,SPC25,SPC25 component of NDC80 kinetochore complex
2.0345165519819444e-113,-1.3986234173260559,0.04,0.644,1.4719727253589369e-109,nup37,nup37,ENSNFUG00015022768,nucleoporin 37,ENSG00000075188,NUP37,nucleoporin 37
3.448859076651033e-113,-1.866560759891563,0.001,0.548,2.4952495419570223e-109,aspm,aspm,ENSNFUG00015014069,assembly factor for spindle microtubules,ENSG00000066279,ASPM,assembly factor for spindle microtubules
7.064048503053211e-112,-1.7334914815873823,0.106,0.738,5.110839091958998e-108,ENSNFUG00015018613,,ENSNFUG00015018613,NA,,NA,NA
7.32368961756505e-112,-1.4878564861735675,0.027,0.607,5.298689438308314e-108,ncaph,ncaph,ENSNFUG00015019332,"non-SMC condensin I complex, subunit H",ENSG00000121152,NCAPH,non-SMC condensin I complex subunit H
3.3573841559088665e-110,-2.023381506985619,0.226,0.82,2.429067436800065e-106,PPIH,PPIH,ENSNFUG00015023794,peptidylprolyl isomerase H,ENSG00000171960,PPIH,peptidylprolyl isomerase H
3.7180702230789324e-109,-2.836812413232183,0.519,0.938,2.6900238063976076e-105,DAPL1,DAPL1,ENSNFUG00015023584,death associated protein like 1,ENSG00000163331,DAPL1,death associated protein like 1
2.095033350275256e-106,-1.66934518622194,0.109,0.719,1.5157566289241477e-102,OLA.28460,OLA.28460,ENSNFUG00015002019,phospholipase D3-like,,NA,NA
3.0850024389638886e-105,-1.4423534744966435,0.034,0.598,2.2319992645903734e-101,racgap1,racgap1,ENSNFUG00015014612,Rac GTPase activating protein 1,ENSG00000161800,RACGAP1,Rac GTPase activating protein 1
1.4753906058787608e-101,-1.86829627451065,0.019,0.541,1.0674451033532835e-97,ENSNFUG00015005525,NA,NA,NA,NA,NA,NA
3.834737599974549e-101,-1.4834034928563162,0.06,0.627,2.774432653581586e-97,MDC1,MDC1,ENSNFUG00015002276,mediator of DNA damage checkpoint 1,ENSG00000137337,MDC1,mediator of DNA damage checkpoint 1
1.8056943470926785e-100,-1.3198866046361342,0.031,0.568,1.306419860121553e-96,KIF4A,KIF4A,ENSNFUG00015012347,chromosome-associated kinesin KIF4-like,ENSG00000090889,KIF4A,kinesin family member 4A
3.463570427853888e-100,-1.7666620600563974,0,0.491,2.505893204552288e-96,CCNB3,CCNB3,ENSNFUG00015006756,cyclin B3,ENSG00000147082,CCNB3,cyclin B3
1.8533864052869825e-99,-1.398553942914272,0.01,0.519,1.3409250642251319e-95,ENSNFUG00015006334,,ENSNFUG00015006334,NA,ENSG00000138778,CENPE,centromere protein E
7.790631897993598e-98,-1.6048696085109482,0.15,0.733,5.636522178198368e-94,BUB3,BUB3,ENSNFUG00015007398,BUB3 mitotic checkpoint protein,ENSG00000154473,BUB3,BUB3 mitotic checkpoint protein
2.2921200559999123e-97,-1.5026685056959739,0.598,0.963,1.6583488605159366e-93,HMGB1A,HMGB1A,ENSNFUG00015013607,high mobility group box 1,ENSG00000124097,HMGB1P1,high mobility group box 1 pseudogene 1
2.2921200559999123e-97,-1.5026685056959739,0.598,0.963,1.6583488605159366e-93,HMGB1A,HMGB1A,ENSNFUG00015013607,high mobility group box 1,ENSG00000189403,HMGB1,high mobility group box 1
2.0690733259444835e-94,-1.5410659505995068,0.004,0.477,1.4969745513208338e-90,ENSNFUG00015003141,,ENSNFUG00015003141,NA,ENSG00000146047,H2BC1,H2B clustered histone 1
4.977938782821456e-93,-1.7805593622499185,0.03,0.523,3.601538709371323e-89,ENSNFUG00015002368,,ENSNFUG00015002368,NA,ENSG00000187475,H1-6,"H1.6 linker histone, cluster member"
1.9332248656661998e-92,-1.9878702450189718,0.384,0.911,1.3986881903094955e-88,KIAA0101,KIAA0101,ENSNFUG00015022169,PCNA clamp associated factor,ENSG00000259316,,novel protein
1.9332248656661998e-92,-1.9878702450189718,0.384,0.911,1.3986881903094955e-88,KIAA0101,KIAA0101,ENSNFUG00015022169,PCNA clamp associated factor,ENSG00000166803,PCLAF,PCNA clamp associated factor
6.849504154688723e-91,-1.497624237372147,0.087,0.627,4.955616255917291e-87,ENSNFUG00015003482,,ENSNFUG00015003482,mitotic checkpoint serine/threonine-protein kinase BUB1 beta-like,ENSG00000156970,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B
6.849504154688723e-91,-1.497624237372147,0.087,0.627,4.955616255917291e-87,ENSNFUG00015003482,,ENSNFUG00015003482,mitotic checkpoint serine/threonine-protein kinase BUB1 beta-like,ENSG00000259288,BUB1B-PAK6,BUB1B-PAK6 readthrough
6.92043103812359e-91,-1.2877291473451997,0.972,0.99,5.006931856082417e-87,CORO1A,CORO1A,ENSNFUG00015000425,coronin-1A-like,ENSG00000102879,CORO1A,coronin 1A
2.5346742517665502e-90,-1.6446277577871058,0.052,0.575,1.833836821153099e-86,rrm1,rrm1,ENSNFUG00015022779,ribonucleoside-diphosphate reductase large subunit-like,ENSG00000167325,RRM1,ribonucleotide reductase catalytic subunit M1
7.102505369413456e-88,-1.3498149493506193,0.151,0.728,5.138662634770635e-84,cenpp,cenpp,ENSNFUG00015005928,centromere protein P,ENSG00000188312,CENPP,centromere protein P
6.05837978180708e-86,-2.5301226874995044,0,0.43,4.3832377721374224e-82,si:ch211-69g19.2,si:ch211-69g19.2,ENSNFUG00015001327,si:ch211-69g19.2,ENSG00000111665,CDCA3,cell division cycle associated 3
1.4693368746274972e-85,-1.5720650407132226,0.344,0.847,1.0630652287929943e-81,rad21a,rad21a,ENSNFUG00015004544,RAD21 cohesin complex component a,ENSG00000164754,RAD21,RAD21 cohesin complex component
6.412717038952088e-85,-1.6353219683824092,0.414,0.874,4.639600777681836e-81,RPS6KA1,RPS6KA1,ENSNFUG00015007972,ribosomal protein S6 kinase A1,ENSG00000117676,RPS6KA1,ribosomal protein S6 kinase A1
1.934527459789308e-83,-1.3019290081439987,0.052,0.541,1.3996306171575644e-79,ANP32A,ANP32A,ENSNFUG00015007414,acidic nuclear phosphoprotein 32 family member A,ENSG00000139223,ANP32D,acidic nuclear phosphoprotein 32 family member D
1.934527459789308e-83,-1.3019290081439987,0.052,0.541,1.3996306171575644e-79,ANP32A,ANP32A,ENSNFUG00015007414,acidic nuclear phosphoprotein 32 family member A,ENSG00000140350,ANP32A,acidic nuclear phosphoprotein 32 family member A
6.94402967557378e-83,-1.1593361915822813,0.005,0.432,5.02400547027763e-79,BUB1,BUB1,ENSNFUG00015013714,BUB1 mitotic checkpoint serine/threonine kinase,ENSG00000169679,BUB1,BUB1 mitotic checkpoint serine/threonine kinase
1.6535017239714407e-82,-1.4651785802486557,0.429,0.901,1.1963084972933373e-78,rrm2b,rrm2b,ENSNFUG00015013825,ribonucleotide reductase M2 b,ENSG00000048392,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B
3.3829881686811606e-81,1.6433519038972175,0.805,0.319,2.44759194004082e-77,glod5,glod5,ENSNFUG00015002323,glyoxalase domain containing 5,ENSG00000171433,GLOD5,glyoxalase domain containing 5
7.252668114737686e-81,-1.296130377109233,0.027,0.474,5.247305381012715e-77,KIF23,KIF23,ENSNFUG00015007554,kinesin family member 23,ENSG00000137807,KIF23,kinesin family member 23
1.5072536886740474e-80,-1.1359984760305,0.039,0.506,1.0904980437556733e-76,ncapg,ncapg,ENSNFUG00015000473,non-SMC condensin I complex subunit G,ENSG00000109805,NCAPG,non-SMC condensin I complex subunit G
1.0378607775278678e-78,-1.3315384356861526,0.006,0.415,7.508922725414124e-75,ENSNFUG00015003146,,ENSNFUG00015003146,NA,,NA,NA
1.6471871535230343e-77,-1.180170843642402,0.828,0.973,1.1917399055739154e-73,H2AFVB,H2AFVB,ENSNFUG00015019133,histone H2A.Z,ENSG00000164032,H2AZ1,H2A.Z variant histone 1
1.666983369362527e-77,-1.2991367844648773,0.047,0.501,1.2060624677337883e-73,ENSNFUG00015022004,,ENSNFUG00015022004,NA,ENSG00000102901,CENPT,centromere protein T
4.6290503309233894e-76,-1.335332025668308,0.448,0.879,3.3491179144230725e-72,ENSNFUG00015014572,,ENSNFUG00015014572,"tubulin, alpha 8 like 3",,NA,NA
4.987589345118922e-76,-1.2359513980550523,0.006,0.405,3.6085208911935403e-72,melk,melk,ENSNFUG00015007800,maternal embryonic leucine zipper kinase,ENSG00000165304,MELK,maternal embryonic leucine zipper kinase
7.762214643937101e-76,-1.051283302513062,0.022,0.447,5.615962294888492e-72,KIF2C,KIF2C,ENSNFUG00015019455,kinesin family member 2C,,NA,NA
5.649720023355066e-75,-1.1680108670177736,0.028,0.459,4.08757243689739e-71,BCL2L1,BCL2L1,ENSNFUG00015015141,bcl-2-like protein 1,ENSG00000171552,BCL2L1,BCL2 like 1
5.649720023355066e-75,-1.1680108670177736,0.028,0.459,4.08757243689739e-71,BCL2L1,BCL2L1,ENSNFUG00015021328,BCL2 like 1,ENSG00000171552,BCL2L1,BCL2 like 1
2.8731877913295376e-74,1.7345920104408026,0.558,0,2.0787513670269205e-70,MCM2,MCM2,ENSNFUG00015009278,minichromosome maintenance complex component 2,ENSG00000073111,MCM2,minichromosome maintenance complex component 2
1.1476083346037236e-73,-1.7024840225979463,0.366,0.874,8.30294630085794e-70,tk1,tk1,ENSNFUG00015001270,thymidine kinase 1,ENSG00000167900,TK1,thymidine kinase 1
3.9203501937409445e-73,-1.054230932067973,0.903,0.99,2.8363733651715735e-69,OLA.4512,OLA.4512,ENSNFUG00015014558,microsomal glutathione S-transferase 3-like,,NA,NA
2.6694513463019195e-72,-1.3125182749483155,0.241,0.738,1.9313480490494386e-68,NUCKS1A,NUCKS1A,ENSNFUG00015016960,nuclear casein kinase and cyclin dependent kinase substrate 1,ENSG00000069275,NUCKS1,nuclear casein kinase and cyclin dependent kinase substrate 1
2.8820986019777397e-72,-2.0274149034258047,0.344,0.788,2.0851983385308947e-68,GSTM3,GSTM3,ENSNFUG00015022289,glutathione S-transferase mu 3,ENSG00000134202,GSTM3,glutathione S-transferase mu 3
2.8820986019777397e-72,-2.0274149034258047,0.344,0.788,2.0851983385308947e-68,GSTM3,GSTM3,ENSNFUG00015022304,glutathione S-transferase mu 3,ENSG00000134202,GSTM3,glutathione S-transferase mu 3
2.1998303957343062e-70,-1.249244784799885,0.723,0.936,1.5915772913137705e-66,ENSNFUG00015009387,,ENSNFUG00015009387,protein LYRIC-like,ENSG00000176909,MAMSTR,MEF2 activating motif and SAP domain containing transcriptional regulator
3.520832097933425e-69,-0.9622519636423523,0.906,0.988,2.5473220228548327e-65,calm2a,calm2a,ENSNFUG00015000255,"calmodulin 2a (phosphorylase kinase, delta)",ENSG00000143933,CALM2,calmodulin 2
3.8222242962353875e-68,-1.3786878876103579,0.287,0.758,2.765379278326303e-64,ENSNFUG00015006151,,ENSNFUG00015006151,tubulin alpha 4a,,NA,NA
3.0398568153647506e-66,-0.977611893976542,0.012,0.373,2.1993364059163973e-62,birc5a,birc5a,ENSNFUG00015015378,baculoviral IAP repeat containing 5a,ENSG00000089685,BIRC5,baculoviral IAP repeat containing 5
2.154550121122261e-65,-1.1319464529498333,0.069,0.494,1.558817012631956e-61,CKAP5,CKAP5,ENSNFUG00015019253,cytoskeleton associated protein 5,ENSG00000175216,CKAP5,cytoskeleton associated protein 5
3.3371127679262983e-65,-1.0989224070868844,0.093,0.536,2.4144010875946767e-61,BX323045.3,BX323045.3,ENSNFUG00015023454,CTD small phosphatase-like protein 2,,NA,NA
3.684275833943086e-65,-0.7710917512973161,0.99,0.995,2.6655735658578225e-61,lcp1,lcp1,ENSNFUG00015007237,lymphocyte cytosolic protein 1,ENSG00000136167,LCP1,lymphocyte cytosolic protein 1
1.4566994306315482e-64,-1.0727165237763219,0.005,0.346,1.0539220380619251e-60,ENSNFUG00015005543,,ENSNFUG00015005543,NA,ENSG00000146047,H2BC1,H2B clustered histone 1
4.7134222543741825e-64,-1.1376917585708526,0.006,0.348,3.410161001039721e-60,Nfu-g-1-000275.1,NA,NA,NA,NA,NA,NA
8.97719611876875e-64,0.342615446622097,1,1,6.495001391929191e-60,RPS14,RPS14,ENSNFUG00015006565,ribosomal protein S14,ENSG00000164587,RPS14,ribosomal protein S14
1.1025618488999006e-63,-1.2267702810319305,0.131,0.59,7.977034976790781e-60,ENSNFUG00015000044,,ENSNFUG00015000044,centromere protein U,ENSG00000151725,CENPU,centromere protein U
3.528708677054778e-63,-1.2838782012994971,0.594,0.928,2.5530207278491316e-59,DYNLL1,DYNLL1,ENSNFUG00015015440,"dynein light chain 2, cytoplasmic-like",ENSG00000088986,DYNLL1,dynein light chain LC8-type 1
6.848233320463442e-63,0.6761640203087689,0.997,0.978,4.954696807355301e-59,BTF3.1,NA,NA,NA,NA,NA,NA
8.782911575755293e-63,-1.1439092067687007,0.069,0.486,6.354436525058955e-59,ENSNFUG00015000676,,ENSNFUG00015000676,NA,ENSG00000123219,CENPK,centromere protein K
1.7817192621296239e-62,-0.9859323711740425,0.012,0.358,1.2890738861507829e-58,ENSNFUG00015008362,,ENSNFUG00015008362,NA,ENSG00000116830,TTF2,transcription termination factor 2
6.655052968902173e-62,-1.075347911419451,0.004,0.331,4.814930823000722e-58,ENSNFUG00015019049,,ENSNFUG00015019049,outer dense fiber protein 2-like,ENSG00000122417,ODF2L,outer dense fiber of sperm tails 2 like
1.9070738453237085e-61,-1.380227224507393,0.001,0.321,1.3797679270917031e-57,ENSNFUG00015006241,,ENSNFUG00015006241,NA,,NA,NA
5.418130667202826e-60,-1.1482724389183943,0.065,0.464,3.9200175377212445e-56,arhgef39,arhgef39,ENSNFUG00015002788,Rho guanine nucleotide exchange factor (GEF) 39,ENSG00000137135,ARHGEF39,Rho guanine nucleotide exchange factor 39
7.55708369646741e-60,0.5137352546105802,0.997,0.995,5.467550054394171e-56,"NACA","NACA",ENSNFUG00015014433,nascent polypeptide associated complex subunit alpha,ENSG00000196531,"NACA",nascent polypeptide associated complex subunit alpha
1.6363531321286344e-59,0.4695469620491721,1,1,1.183901491095067e-55,ENSNFUG00015021627,,ENSNFUG00015021627,NA,,NA,NA
3.249105977643386e-59,-0.9735411589830885,0.838,0.975,2.3507281748249897e-55,ENSNFUG00015006430,,ENSNFUG00015006430,NA,,NA,NA
1.878460375991205e-58,-1.186307946432305,0.085,0.491,1.3590660820296367e-54,CDC14B,CDC14B,ENSNFUG00015010206,cell division cycle 14B,ENSG00000079335,CDC14A,cell division cycle 14A
4.01509274331708e-58,-1.2496096194838073,0.458,0.854,2.9049195997899074e-54,"NARS","NARS",ENSNFUG00015004753,asparaginyl-tRNA synthetase 1,ENSG00000134440,"NARS1",asparaginyl-tRNA synthetase 1
1.0188252078331891e-57,-0.9894471083675375,0.047,0.427,7.371200378673123e-54,HAUS5,HAUS5,ENSNFUG00015025471,HAUS augmin like complex subunit 5,,NA,NA
4.507522366608768e-57,-0.9968538646995453,0.054,0.432,3.2611924322414437e-53,CENPH,CENPH,ENSNFUG00015021161,centromere protein H,ENSG00000153044,CENPH,centromere protein H
9.171193560645744e-57,-1.1509997865513166,0.113,0.526,6.635358541127196e-53,kif22,kif22,ENSNFUG00015009357,kinesin family member 22,ENSG00000079616,KIF22,kinesin family member 22
2.189855327655814e-55,1.4519503447430808,0.497,0.04,1.5843603295589815e-51,mcm6,mcm6,ENSNFUG00015004708,minichromosome maintenance complex component 6,ENSG00000076003,MCM6,minichromosome maintenance complex component 6
6.079511290281823e-55,-0.9882002257694751,0.058,0.435,4.3985264185188993e-51,smc2,smc2,ENSNFUG00015020117,structural maintenance of chromosomes 2,ENSG00000136824,SMC2,structural maintenance of chromosomes 2
4.439746968271097e-54,-0.91115899530464906,0.047,0.4,3.2121569315441386e-50,BUB1BB,BUB1BB,ENSNFUG00015022972,BUB1 mitotic checkpoint serine/threonine kinase B,,NA,NA
1.111641506605215e-53,-0.7126566573861172,0.001,0.284,8.04272630028873e-50,si:ch211-63o20.7,si:ch211-63o20.7,ENSNFUG00015012319,serine/threonine-protein kinase 35-like,,NA,NA
4.107292222109681e-52,0.3941338155513394,1,0.995,2.9716259226963543e-48,RPL34,RPL34,ENSNFUG00015010687,ribosomal protein L34,ENSG00000109475,RPL34,ribosomal protein L34
4.3461336636104206e-51,-0.8426716071745305,0,0.267,3.144427705622139e-47,PRC1B,PRC1B,ENSNFUG00015007828,protein regulator of cytokinesis 1,ENSG00000198901,PRC1,protein regulator of cytokinesis 1
3.975536299484675e-49,-0.9281361660420211,0.049,0.383,2.876300512677163e-45,NUF2,NUF2,ENSNFUG00015013438,NUF2 component of NDC80 kinetochore complex,ENSG00000143228,NUF2,NUF2 component of NDC80 kinetochore complex
2.0135249037614523e-48,0.35590138472792354,1,1,1.4567852678714107e-44,rpl17,rpl17,ENSNFUG00015003759,ribosomal protein L17,ENSG00000265681,RPL17,ribosomal protein L17
2.0135249037614523e-48,0.35590138472792354,1,1,1.4567852678714107e-44,rpl17,rpl17,ENSNFUG00015003759,ribosomal protein L17,ENSG00000215472,RPL17-C18orf32,RPL17-C18orf32 readthrough
2.0177338835901384e-48,-0.7990604719671746,0.031,0.341,1.459830464777465e-44,CENPL,CENPL,ENSNFUG00015000919,centromere protein L,ENSG00000120334,CENPL,centromere protein L
2.6419130857616483e-48,0.6189887905442779,0.975,0.965,1.9114241175485524e-44,BTF3,BTF3,ENSNFUG00015012229,basic transcription factor 3,ENSG00000145741,BTF3,basic transcription factor 3
2.6419130857616483e-48,0.6189887905442779,0.975,0.965,1.9114241175485524e-44,BTF3,BTF3,ENSNFUG00015017060,transcription factor BTF3-like,,NA,NA
4.559559910890799e-48,-0.7596210756609594,0.006,0.272,3.298841595529493e-44,smurf2,smurf2,ENSNFUG00015003316,SMAD specific E3 ubiquitin protein ligase 2,ENSG00000108854,SMURF2,SMAD specific E3 ubiquitin protein ligase 2
4.559559910890799e-48,-0.7596210756609594,0.006,0.272,3.298841595529493e-44,smurf2,smurf2,ENSNFUG00015016691,E3 ubiquitin-protein ligase SMURF2,ENSG00000108854,SMURF2,SMAD specific E3 ubiquitin protein ligase 2
5.523002409362199e-48,-0.7410117489313309,0.004,0.264,3.995892243173551e-44,foxm1,foxm1,ENSNFUG00015012456,forkhead box M1,ENSG00000111206,FOXM1,forkhead box M1
5.531532172732695e-48,0.7859742513880592,0.943,0.849,4.0020635269721045e-44,EEF2,EEF2,ENSNFUG00015023495,elongation factor 2-like,,NA,NA
9.346600017325913e-48,-0.9548909319964843,0.065,0.402,6.762265112535299e-44,CISD2,CISD2,ENSNFUG00015001471,CDGSH iron sulfur domain 2,ENSG00000145354,CISD2,CDGSH iron sulfur domain 2
1.5071190876278791e-47,-1.0429257713762508,0.188,0.573,1.0904006598987706e-43,si:dkey-74k8.3,si:dkey-74k8.3,ENSNFUG00015012977,si:dkey-74k8.3,,NA,NA
4.3732864738589966e-47,-0.7125105308391828,0.832,0.968,3.1640727638369842e-43,tma7,tma7,ENSNFUG00015014683,translation machinery associated 7 homolog,,NA,NA
7.568980562147313e-47,1.0568947707004877,0.815,0.595,5.476157436713581e-43,ddx21,ddx21,ENSNFUG00015004182,DExD-box helicase 21,ENSG00000165732,DDX21,DExD-box helicase 21
9.584189896323572e-47,-1.1115369558751784,0.225,0.602,6.934161389990104e-43,paics,paics,ENSNFUG00015017432,uncharacterized LOC107393397,ENSG00000128050,PAICS,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase
1.4944170614870869e-46,0.35575692259130864,1,0.995,1.0812107439859073e-42,RPLP2,RPLP2,ENSNFUG00015012879,60S acidic ribosomal protein P2-like,,NA,NA
2.292268479276388e-46,-0.9486213187296304,0.05,0.37,1.658456244756467e-42,ENSNFUG00015002530,,ENSNFUG00015002530,NA,,NA,NA
2.808982283648483e-46,0.3049591001087739,1,0.995,2.0322986822196775e-42,RPL23,RPL23,ENSNFUG00015010131,ribosomal protein L23,ENSG00000125691,RPL23,ribosomal protein L23
3.1341437997153402e-46,-0.715571673977966,0.026,0.319,2.2675530390940485e-42,CENPI,CENPI,ENSNFUG00015000218,centromere protein I,ENSG00000102384,CENPI,centromere protein I
7.764675336075253e-46,-0.8527275537392316,0.86,0.975,5.617742605650445e-42,MSNA,MSNA,ENSNFUG00015020796,moesin-like,ENSG00000147065,MSN,moesin
9.09405720015763e-46,-0.8712947286205173,0.04,0.346,6.579550384314045e-42,ENSNFUG00015007986,,ENSNFUG00015007986,kinesin family member 20B,ENSG00000138182,KIF20B,kinesin family member 20B
1.4675785387176697e-45,-0.7349278454649557,0.922,0.993,1.061793072762234e-41,H3F3B.1.1,NA,NA,NA,NA,NA,NA
1.1019983234322754e-44,1.1329610997800261,0.391,0.007,7.972957870032512e-41,UNGA,UNGA,ENSNFUG00015014137,uracil DNA glycosylase a,ENSG00000076248,UNG,uracil DNA glycosylase
